,gen_amp,kurtosis
01,99.38819795032316,36.93665600240161
02,99.97046324673393,9.978421649740632
03,99.58266403259532,42.37179053241747
04,99.99299343951324,3.070224939566539
05,99.8878146711484,5.861532497850346
06,99.8827051052255,22.18021368806742
07,99.98074861460044,14.041754212184934
08,99.88056039579118,13.436052889157349
09,99.99002049119623,4.565306494763611
10,99.96800090770914,6.218260348840024
11,99.95775413219734,3.2917837412438056
12,99.35204627896861,26.695216032846666
13,99.99161900271577,8.8206583900708
14,99.81909358929325,31.90309202829306
15,95.92996091172125,16.393272604567244
16,99.94032183686036,15.789199618552548
17,99.98340748353922,3.5842869961101567
18,99.82403299200352,17.07210691004707
19,99.96213077669672,7.14415427274484
20,99.79195927761815,14.658179668280582
